3.203502404134718e-06,3.658237653370773e-06,4.576636403648793e-06,5.962036695716743e-06,7.777495674028824e-06,9.880333874545627e-06,1.192254871313207e-05,1.32828314525168e-05,1.335374156842622e-05,1.283236692328235e-05,1.240127209164151e-05
3.171180493934405e-06,3.637103598292125e-06,4.590161688687762e-06,6.064482722432445e-06,8.083823627122972e-06,1.060003845234563e-05,1.332762345182844e-05,1.535154553146452e-05,1.476724468077838e-05,1.359067409139268e-05,1.283236692328235e-05
3.087862172415289e-06,3.563552743203724e-06,4.554534071592263e-06,6.145244444030998e-06,8.477238275682949e-06,1.175794894056588e-05,1.615185673783724e-05,2.080265817627907e-05,1.758549534592355e-05,1.476724468077838e-05,1.335374156842622e-05
2.929258977140403e-06,3.394269641102305e-06,4.374914717869444e-06,5.99011967639464e-06,8.486648354292178e-06,1.243354215327046e-05,1.942220346998905e-05,3.489835008554237e-05,2.080265817627907e-05,1.535154553146452e-05,1.32828314525168e-05
2.68550152763515e-06,3.10742519996461e-06,3.993157268793874e-06,5.433214814193902e-06,7.581874818685138e-06,1.066893984770138e-05,1.489053605592326e-05,1.942220346998905e-05,1.615185673783724e-05,1.332762345182844e-05,1.192254871313207e-05
2.374731906068265e-06,2.728703224003641e-06,3.460942271209765e-06,4.615088511074535e-06,6.237814759530006e-06,8.32663907272163e-06,1.066893984770138e-05,1.243354215327046e-05,1.175794894056588e-05,1.060003845234563e-05,9.880333874545627e-06
2.037448739281858e-06,2.314867134056066e-06,2.879167998501695e-06,3.739974655589337e-06,4.885127232982014e-06,6.237814759530006e-06,7.581874818685138e-06,8.486648354292178e-06,8.477238275682949e-06,8.083823627122972e-06,7.777495674028824e-06
1.721114018547009e-06,1.927171276121277e-06,2.340722210464594e-06,2.955467767374509e-06,3.739974655589337e-06,4.615088511074535e-06,5.433214814193902e-06,5.99011967639464e-06,6.145244444030998e-06,6.064482722432445e-06,5.962036695716743e-06
1.465046142820805e-06,1.613013502632152e-06,1.908175216787131e-06,2.340722210464594e-06,2.879167998501695e-06,3.460942271209765e-06,3.993157268793874e-06,4.374914717869444e-06,4.554534071592263e-06,4.590161688687762e-06,4.576636403648793e-06
1.291156773234182e-06,1.398399662692523e-06,1.613013502632152e-06,1.927171276121277e-06,2.314867134056066e-06,2.728703224003641e-06,3.10742519996461e-06,3.394269641102305e-06,3.563552743203724e-06,3.637103598292125e-06,3.658237653370773e-06
1.204926494634347e-06,1.291156773234182e-06,1.465046142820805e-06,1.721114018547009e-06,2.037448739281858e-06,2.374731906068265e-06,2.68550152763515e-06,2.929258977140403e-06,3.087862172415289e-06,3.171180493934405e-06,3.203502404134718e-06
